f_spot,tempSpot,wavelength,D_lambda,epsilon_Rackham,epsilon_ourWork
6.310344827586204797e-02,6.350000000000000000e+03,7.980000000000000000e+02,1.806842159093791270e+04,1.008126253284492790e+00,1.009006924558257134e+00
6.310344827586204797e-02,6.350000000000000000e+03,9.296999999999999318e+02,1.780650306933484535e+04,1.007254182555247457e+00,1.007913125586433090e+00
6.310344827586204797e-02,6.350000000000000000e+03,1.128000000000000000e+03,1.763084611161913563e+04,1.006356047957050581e+00,1.006862508496078279e+00
6.310344827586204797e-02,6.350000000000000000e+03,1.523000000000000000e+03,1.725256451371293224e+04,1.005321001819321935e+00,1.005608122549293659e+00
6.310344827586204797e-02,6.350000000000000000e+03,2.182000000000000000e+03,1.699303131533769192e+04,1.004491572747430395e+00,1.004660854243532908e+00
6.310344827586204797e-02,6.350000000000000000e+03,2.842000000000000000e+03,1.694951785487564121e+04,1.004074561472626081e+00,1.004189492068524370e+00
6.310344827586204797e-02,6.350000000000000000e+03,5.150000000000000000e+03,1.622576502811534738e+04,1.003496597260608914e+00,1.003443689639138769e+00
6.793103448275861211e-02,6.350000000000000000e+03,3.900000000000000000e+02,2.033817390529102340e+04,1.015966754269939543e+00,1.020092103901030223e+00
6.793103448275861211e-02,6.350000000000000000e+03,4.740000000000000000e+02,1.957553676458279006e+04,1.013473398907854817e+00,1.016274317544695549e+00
6.793103448275861211e-02,6.350000000000000000e+03,5.580000000000000000e+02,1.900643249562383789e+04,1.011710299916987355e+00,1.013700965714129820e+00
6.793103448275861211e-02,6.350000000000000000e+03,6.660000000000000000e+02,1.844029281669645570e+04,1.010103178824987014e+00,1.011432249721725407e+00
6.793103448275861211e-02,6.350000000000000000e+03,7.980000000000000000e+02,1.808079443263122084e+04,1.008753375667288843e+00,1.009697869413743065e+00
6.793103448275861211e-02,6.350000000000000000e+03,9.296999999999999318e+02,1.781722315365463874e+04,1.007813483549117706e+00,1.008519921522234686e+00
6.793103448275861211e-02,6.350000000000000000e+03,1.128000000000000000e+03,1.764005450015349197e+04,1.006845631714905043e+00,1.007388381226190566e+00
6.793103448275861211e-02,6.350000000000000000e+03,1.523000000000000000e+03,1.725993603690534292e+04,1.005730405679743589e+00,1.006037789894803858e+00
6.793103448275861211e-02,6.350000000000000000e+03,2.182000000000000000e+03,1.699906906938974862e+04,1.004836852362203992e+00,1.005017817932417401e+00
6.793103448275861211e-02,6.350000000000000000e+03,2.842000000000000000e+03,1.695494364570504331e+04,1.004387644252866085e+00,1.004510947946130939e+00
6.793103448275861211e-02,6.350000000000000000e+03,5.150000000000000000e+03,1.623003425033253734e+04,1.003765103666974356e+00,1.003707709491890254e+00
7.275862068965517626e-02,6.350000000000000000e+03,3.900000000000000000e+02,2.036689926642132195e+04,1.017120874406501008e+00,1.021532868160750729e+00
7.275862068965517626e-02,6.350000000000000000e+03,4.740000000000000000e+02,1.959797021889575626e+04,1.014444730173206688e+00,1.017438962159362248e+00
7.275862068965517626e-02,6.350000000000000000e+03,5.580000000000000000e+02,1.902479550585989273e+04,1.012552950588383682e+00,1.014680349994372399e+00
7.275862068965517626e-02,6.350000000000000000e+03,6.660000000000000000e+02,1.845518380913902001e+04,1.010828946329999312e+00,1.012249006274155816e+00
7.275862068965517626e-02,6.350000000000000000e+03,7.980000000000000000e+02,1.809319185943203411e+04,1.009381278760401734e+00,1.010390187191793965e+00
7.275862068965517626e-02,6.350000000000000000e+03,9.296999999999999318e+02,1.782796411077059020e+04,1.008373406017493368e+00,1.009127898934552903e+00
7.275862068965517626e-02,6.350000000000000000e+03,1.128000000000000000e+03,1.764928000054777294e+04,1.007335692061381405e+00,1.007915231180543936e+00
7.275862068965517626e-02,6.350000000000000000e+03,1.523000000000000000e+03,1.726732113479789768e+04,1.006140143124773845e+00,1.006468248475072880e+00
7.275862068965517626e-02,6.350000000000000000e+03,2.182000000000000000e+03,1.700511631164158825e+04,1.005182369428458955e+00,1.005375342582011111e+00
7.275862068965517626e-02,6.350000000000000000e+03,2.842000000000000000e+03,1.696038055860993336e+04,1.004700922340117764e+00,1.004833062761143925e+00
7.275862068965517626e-02,6.350000000000000000e+03,5.150000000000000000e+03,1.623431173584499811e+04,1.004033753800755102e+00,1.003972240368404600e+00
7.758620689655172653e-02,6.350000000000000000e+03,3.900000000000000000e+02,2.039568751381137918e+04,1.018277619644967880e+00,1.022976786576656583e+00
7.758620689655172653e-02,6.350000000000000000e+03,4.740000000000000000e+02,1.962044715094746061e+04,1.015417925107695130e+00,1.018605863943770506e+00
7.758620689655172653e-02,6.350000000000000000e+03,5.580000000000000000e+02,1.904319154594314023e+04,1.013397006112640053e+00,1.015661495909156775e+00
7.758620689655172653e-02,6.350000000000000000e+03,6.660000000000000000e+02,1.847010066964638463e+04,1.011555757524845500e+00,1.013067181664954797e+00
7.758620689655172653e-02,6.350000000000000000e+03,7.980000000000000000e+02,1.810560969508867493e+04,1.010009964022609896e+00,1.011083644675200288e+00
7.758620689655172653e-02,6.350000000000000000e+03,9.296999999999999318e+02,1.783872220907212250e+04,1.008933950996789175e+00,1.009736846600596039e+00
7.758620689655172653e-02,6.350000000000000000e+03,1.128000000000000000e+03,1.765851942306317869e+04,1.007826229692726061e+00,1.008442876199507898e+00
7.758620689655172653e-02,6.350000000000000000e+03,1.523000000000000000e+03,1.727471674366509615e+04,1.006550214562288437e+00,1.006899319713330909e+00
7.758620689655172653e-02,6.350000000000000000e+03,2.182000000000000000e+03,1.701117179460975967e+04,1.005528124191225281e+00,1.005733354438681282e+00
